champion,DamageTaken,Heal,gameDuration
105,17245,1554,1797
64,23654,6877,1550
517,40167,14781,2406
518,24588,3222,2112
30,25395,9623,1734
267,18890,20794,1877
555,17078,2754,1370
267,11606,11016,1615
122,747,133,192
82,36887,13703,2051
238,27685,4427,1863
67,17692,2011,1604
61,19296,2213,2100
15,15799,1492,1752
64,25671,7392,1650
15,20097,2744,1738
121,26265,8993,1377
13,35113,12033,2074
497,13538,1511,1714
79,20259,7766,1531
81,14511,2383,1461
92,5747,643,698
38,19818,6083,1434
99,1022,0,194
120,39705,16183,1849
80,21945,9953,1689
17,17026,177,1585
412,8925,0,1555
157,20204,1258,1703
99,20869,872,2206
145,14661,1778,1663
238,17903,1786,1494
39,11223,3672,912
4,14675,2385,1269
75,21850,511,1448
104,18234,6308,1625
163,15769,5620,1440
517,30742,3348,1930
350,14147,17401,2063
145,14256,983,1477
